label,class,channel1,channel1,channel1,channel1,channel1,channel1,channel2,channel2,channel2,channel2,channel2,channel2,channel3,channel3,channel3,channel3,channel3,channel3,channel4,channel4,channel4,channel4,channel4,channel4,channel5,channel5,channel5,channel5,channel5,channel5,channel6,channel6,channel6,channel6,channel6,channel6,channel7,channel7,channel7,channel7,channel7,channel7,channel8,channel8,channel8,channel8,channel8,channel8
2,4,-0.00016,0.00018,5.0748941656668245e-05,1.7544000000000003e-05,0.04562,0.00034,-0.00022,0.00027,7.685654785972152e-05,4.0238e-05,0.06878000000000001,0.00049,-0.00058,0.00077,0.00018352213182993646,0.0002294307,0.16242,0.00135,-0.00128,0.00127,0.000580273299551717,0.0022937169,0.5346,0.00255,-0.00108,0.00124,0.00036318274033504824,0.0008985144,0.3247,0.00232,-0.00041,0.00053,0.0001349236425278277,0.0001240083,0.11906,0.00094,-0.00023,0.00036,6.651603897547192e-05,3.01389e-05,0.058170000000000006,0.00059,-0.00014,0.00026,4.87884633032992e-05,1.62147e-05,0.04254,0.00039999999999999996
2,5,-0.00062,0.00052,0.00010748958593827033,7.92143e-05,0.08451000000000002,0.00114,-0.00042,0.0002,6.643323826111233e-05,3.02581e-05,0.0596,0.00062,-0.00095,0.00061,0.00015944322246554945,0.0001742942,0.14458,0.00156,-0.00128,0.00127,0.00045460755383590655,0.0014169159999999998,0.42984,0.00255,-0.00062,0.00074,0.00017546579117873266,0.0002110842,0.15645,0.00136,-0.00034,0.00046,8.984233564535377e-05,5.53392e-05,0.07046000000000001,0.0008,-0.00011,0.00011,3.211909903396832e-05,7.072900000000001e-06,0.027890000000000005,0.00022,-0.00029,0.00024,4.53811808491423e-05,1.4119600000000003e-05,0.03633,0.00053
2,6,-0.00046,0.00024,7.246193829422823e-05,3.87084e-05,0.05525,0.0007,-0.00014,0.00021,4.556616173163912e-05,1.53063e-05,0.040690000000000004,0.00035,-0.00024,0.0003,6.194848909488826e-05,2.82909e-05,0.05568,0.00054,-0.0006,0.001,0.00021390327731377946,0.00033730299999999995,0.20016,0.0015999999999999999,-0.00103,0.00121,0.00029434514899860534,0.0006387032000000001,0.26724,0.00224,-0.00053,0.00052,0.00013276909120328806,0.0001299509,0.1185,0.00105,-0.00095,0.00077,0.000255448017483911,0.0004810502,0.22344,0.00172,-0.00067,0.00094,0.0001447358531017389,0.0001544321,0.12205,0.0016099999999999999
3,1,-8e-05,8e-05,1.829110832616396e-05,2.1556e-06,0.013660000000000002,0.00016,-0.00017,9e-05,3.578415816359676e-05,8.250300000000001e-06,0.02916,0.00026000000000000003,-0.00043,0.00037,0.0001086328055902599,7.60344e-05,0.08969,0.0007999999999999999,-0.00021,0.00011,4.3194459034973186e-05,1.2021100000000003e-05,0.03554,0.00032,-8e-05,5e-05,1.974657065455258e-05,2.5123000000000005e-06,0.014700000000000001,0.00013000000000000002,-7e-05,5e-05,1.773798294937208e-05,2.0272000000000007e-06,0.01279,0.00011999999999999999,-4e-05,4e-05,1.514275799399696e-05,1.4774000000000005e-06,0.010350000000000002,8e-05,-6e-05,4e-05,1.7755911371676682e-05,2.0313000000000004e-06,0.013280000000000002,0.0001
3,2,-0.00098,0.00114,0.00027423952359023146,0.0004738813,0.23756000000000002,0.00212,-0.00096,0.00124,0.00027707380545203327,0.0004837271,0.24268,0.0022,-0.00081,0.00058,0.00018498034313101078,0.00021560590000000002,0.16148,0.00139,-0.00107,0.0011,0.00024456530526937117,0.00037687660000000004,0.21015,0.00217,-0.00074,0.001,0.00024348880004367,0.0003735661,0.21808999999999998,0.00174,-0.00059,0.00076,0.00022084442119212836,0.000307314,0.19186,0.00135,-0.00119,0.00127,0.0003940819750748246,0.0009785491,0.32963,0.0024600000000000004,-0.00058,0.00067,0.00017802568338699432,0.00019969850000000003,0.14568,0.00125
3,3,-0.00128,0.00127,0.00048079870143787913,0.0014993517,0.43419,0.00255,-0.00128,0.00127,0.0005889644769451743,0.0022498582,0.52157,0.00255,-0.00074,0.00063,0.0002150524321325895,0.0002999616,0.19905,0.0013700000000000001,-0.00025,0.00023,7.598809488526653e-05,3.7451400000000005e-05,0.06576000000000001,0.00048,-0.00062,0.00063,0.00017062083946668084,0.00018881699999999998,0.15592,0.00125,-0.0008,0.00093,0.00024785891663039203,0.0003984612,0.22237,0.0017300000000000002,-0.00063,0.00063,0.00016002832774207832,0.0001661004,0.15111,0.00126,-0.00118,0.00098,0.00030348548264213225,0.0005973829,0.26717,0.00216
3,4,-0.00063,0.00074,0.0001013066786529792,6.589900000000001e-05,0.07307,0.0013700000000000001,-0.00042,0.00027,9.57686792822938e-05,5.88911e-05,0.07834,0.0006900000000000001,-0.00077,0.00062,0.0001930656215276414,0.0002393385,0.1522,0.00139,-0.00112,0.00127,0.00040140275371492297,0.0010345783,0.32784,0.0023899999999999998,-0.00128,0.00127,0.0005974552535050772,0.0022919938000000003,0.5019399999999999,0.00255,-0.00128,0.00116,0.00044337805431707506,0.0012622665,0.39188999999999996,0.0024400000000000003,-0.00059,0.00057,0.0001759269397139526,0.0001987318,0.14339000000000002,0.00116,-0.00027,0.00046,9.331727600468424e-05,5.59148e-05,0.07069,0.00073
3,5,-0.00105,0.00112,0.0002681889754205263,0.0004515471999999999,0.20721,0.00217,-0.00128,0.00127,0.0003855010640771138,0.0009329803,0.29766000000000004,0.00255,-0.00071,0.00053,0.0001796617738381094,0.0002026435,0.14807,0.00124,-0.00106,0.0011,0.00026842157766795874,0.0004523308,0.23009000000000002,0.00216,-0.00125,0.00127,0.00046267818778023147,0.0013439384,0.38611,0.00252,-0.00059,0.00088,0.0002225634773128264,0.00031097760000000003,0.18639,0.00147,-0.00033,0.00047,0.00011880819443937647,8.86164e-05,0.09776000000000001,0.0007999999999999999,-0.00037,0.00053,9.970376638911771e-05,6.24086e-05,0.07401,0.0009
3,6,-0.00099,0.00115,0.0003182482398416966,0.0006164019,0.24783,0.00214,-0.00113,0.00099,0.00023560690678571972,0.0003378376,0.15663,0.00212,-0.00109,0.00073,0.0001848926556617305,0.00020805169999999997,0.13861,0.00182,-0.0004,0.00026,9.116536563244348e-05,5.05815e-05,0.07333,0.00066,-0.00108,0.00099,0.00023962689395723227,0.0003494645,0.17836000000000002,0.00207,-0.00128,0.00127,0.0004999348790980792,0.0015211037,0.38882000000000005,0.00255,-0.00087,0.0009,0.0002048043558781352,0.0002552762,0.1519,0.0017699999999999999,-0.00099,0.00106,0.0003371414552204008,0.0006917613,0.26067,0.0020499999999999997
4,1,-8e-05,3e-05,1.6369157349005372e-05,1.7339000000000005e-06,0.01067,0.00011,-9e-05,6e-05,2.360265786300536e-05,3.6049000000000004e-06,0.01749,0.00015000000000000001,-0.00014,7e-05,2.9153566831020652e-05,5.4999e-06,0.02162,0.00020999999999999998,-9e-05,4e-05,2.1383893493530456e-05,2.959e-06,0.015560000000000001,0.00013000000000000002,-7e-05,0.00012,1.9177976345172986e-05,2.3800000000000005e-06,0.012550000000000002,0.00019,-5e-05,3e-05,1.731024459887695e-05,1.9390000000000004e-06,0.011600000000000001,8e-05,-6e-05,4e-05,1.649142924213877e-05,1.7599000000000003e-06,0.011040000000000001,0.0001,-5e-05,3e-05,1.6644862882031274e-05,1.7928000000000004e-06,0.01083,8e-05
4,2,-0.00113,0.00069,0.00017603803772043745,0.000204468,0.11959,0.00182,-0.00032,0.0003,9.571186361479523e-05,6.044270000000001e-05,0.06895000000000001,0.00062,-0.00087,0.00042,0.00020059920846579233,0.0002655038,0.13859,0.00129,-0.00106,0.00106,0.00034230168797359464,0.0007730906,0.24881,0.00212,-0.00034,0.00029,0.00010664643292228238,7.50421e-05,0.0747,0.00063,-0.00062,0.00085,0.0001986409950707651,0.0002603455,0.13988,0.00147,-0.00081,0.00105,0.00026379137526373733,0.00045912769999999995,0.19239,0.0018599999999999999,-0.00044,0.00058,0.000147796588134099,0.0001441256,0.1064,0.00102
4,3,-0.0012,0.00127,0.00040856969139581594,0.0011476382,0.30892,0.00247,-0.0008,0.00091,0.0002238749001319509,0.0003445748,0.18077000000000001,0.0017100000000000001,-0.00087,0.0009,0.0002221027117021629,0.00033914110000000003,0.16483,0.0017699999999999999,-0.00037,0.00042,0.0001076081105425863,7.96091e-05,0.08882,0.00079,-0.00067,0.00086,0.00024462203870089124,0.0004113996,0.18114000000000002,0.0015300000000000001,-0.00056,0.00071,0.00017440892387510665,0.00020912699999999998,0.12802000000000002,0.0012699999999999999,-0.00059,0.00063,0.0001454773209441604,0.00014550010000000002,0.10773999999999999,0.0012200000000000002,-0.00099,0.00103,0.0002596848439586258,0.00046362400000000005,0.187,0.00202
4,4,-0.0007,0.00065,0.00011885102659635892,0.0001016052,0.07809,0.00135,-0.00045,0.00025,9.122160872879025e-05,5.9855700000000004e-05,0.07264999999999999,0.0007,-0.00062,0.00051,0.00014495659642723677,0.0001511423,0.11535,0.00113,-0.00091,0.00127,0.00034902575375318984,0.0008762439000000001,0.28248,0.00218,-0.00128,0.00127,0.0004922531519225105,0.0017429586,0.42639,0.00255,-0.00081,0.00086,0.0002273619098811055,0.0003718309,0.18728,0.00167,-0.00025,0.00024,7.837250416534977e-05,4.4181199999999996e-05,0.06470000000000001,0.00049,-0.00043,0.00036,7.519944286644662e-05,4.06761e-05,0.05547,0.00079
4,5,-0.00128,0.00127,0.00036526277313642395,0.0009903536,0.27525,0.00255,-0.00065,0.0003,0.00011836900725251889,0.0001040053,0.09657,0.0009499999999999999,-0.00109,0.0007,0.0002213099221412155,0.0003635643,0.17665,0.00179,-0.00121,0.0012,0.0003749809281602205,0.0010437532,0.3158,0.00241,-0.00119,0.00127,0.0004376105930156358,0.001421527,0.37471,0.0024600000000000004,-0.0004,0.00034,8.102153263903869e-05,4.87282e-05,0.06856000000000001,0.00074,-0.00016,0.00018,4.958849931635784e-05,1.8253300000000004e-05,0.04159,0.00034,-0.00074,0.00038,0.00010822593010296733,8.69445e-05,0.08789,0.00112
4,6,-0.001,0.00109,0.0003224689193798475,0.0007341426,0.23724,0.00209,-0.00067,0.00042,0.00011739391570588001,9.72962e-05,0.08853,0.00109,-0.00035,0.00034,7.389823413653856e-05,3.85543e-05,0.05615,0.0006900000000000001,-0.00038,0.00031,0.0001001112695402057,7.07572e-05,0.07812000000000001,0.0006900000000000001,-0.00104,0.00109,0.00028578902755696083,0.0005766280999999999,0.21900000000000003,0.00213,-0.0009,0.00094,0.00026318796264783727,0.0004890313999999999,0.19414,0.00184,-0.00058,0.00057,0.0001540840615281066,0.0001676178,0.11679,0.00115,-0.00098,0.0009,0.00021428268242830217,0.0003241745,0.16481,0.00188
5,1,-6e-05,0.00012,1.456828267604382e-05,1.3808000000000004e-06,0.00964,0.00018,-7e-05,9e-05,2.1959076601465708e-05,3.1372000000000002e-06,0.017280000000000004,0.00015999999999999999,-0.00012,7e-05,2.8641492197773193e-05,5.3371e-06,0.02393,0.00019,-0.00011,9e-05,2.8206726648445612e-05,5.1763e-06,0.022380000000000004,0.0002,-6e-05,5e-05,1.7416526138229827e-05,1.9735000000000002e-06,0.01105,0.00011,-5e-05,5e-05,1.5136432515695007e-05,1.4906000000000002e-06,0.00912,0.0001,-4e-05,3e-05,1.3014688195367177e-05,1.1020000000000002e-06,0.007400000000000001,7.000000000000001e-05,-5e-05,2e-05,1.4176330164036548e-05,1.3075000000000002e-06,0.008190000000000001,7.000000000000001e-05
5,2,-0.00046,0.00053,0.00010568049085577016,7.60119e-05,0.09142,0.00099,-0.00017,0.00011,3.7646374138128077e-05,9.645800000000002e-06,0.032060000000000005,0.00028000000000000003,-0.0003,0.00024,7.387375559756489e-05,3.7142600000000006e-05,0.06205,0.00054,-0.00074,0.00065,0.0001903732588016628,0.0002466629,0.1474,0.00139,-0.00033,0.00045,8.171887980080136e-05,4.54503e-05,0.06212,0.00078,-0.00037,0.00055,8.329339820856605e-05,4.7218599999999995e-05,0.06453,0.00092,-0.00073,0.00089,0.00014950299678469708,0.0001521219,0.1194,0.00162,-0.00028,0.00029,7.915250477802896e-05,4.26404e-05,0.06946,0.00057
5,3,-0.00057,0.00051,0.00010892216673196334,8.155340000000001e-05,0.08521000000000001,0.00108,-0.00093,0.00064,0.0001385100377225393,0.0001318779,0.09777,0.0015700000000000002,-0.00015,9e-05,3.555209023620139e-05,8.6884e-06,0.029830000000000002,0.00023999999999999998,-0.0001,7e-05,2.8172181435030683e-05,5.455700000000001e-06,0.02341,0.00017,-0.00016,0.00034,4.193633036497912e-05,1.2088999999999999e-05,0.032170000000000004,0.0005,-0.00023,0.00033,5.9789418065879e-05,2.4573000000000003e-05,0.05027,0.00056,-0.00038,0.00055,0.00010401875348474474,7.437600000000001e-05,0.08958,0.00093,-0.00068,0.00053,0.00014830778570835935,0.000151195,0.12546000000000002,0.0012100000000000001
5,4,-0.00052,0.00029,5.198155532486175e-05,1.8168799999999998e-05,0.03587,0.00081,-0.00027,0.00022,5.648856311888438e-05,2.1456000000000003e-05,0.04729,0.00049,-0.00033,0.00024,7.446757276303724e-05,3.72874e-05,0.06339,0.00057,-0.00114,0.00084,0.0002238377676409533,0.0003368949,0.18308000000000002,0.00198,-0.00128,0.0012,0.0004340173314758497,0.0012666069,0.36925,0.00248,-0.00128,0.00126,0.00035338610196394783,0.0008397048,0.28776999999999997,0.00254,-0.00071,0.00051,0.00010936984882065351,8.04309e-05,0.08395,0.0012200000000000002,-0.00076,0.00055,8.171341440664303e-05,4.489670000000001e-05,0.05748,0.00131
5,5,-0.00011,0.00011,2.746057730642173e-05,4.5984e-06,0.01905,0.00022,-0.00016,0.00013,4.0103997309455565e-05,9.8076e-06,0.03139,0.00029,-0.00052,0.00023,8.35706907214187e-05,4.258880000000001e-05,0.06183,0.00075,-0.00064,0.00063,0.0001458722534705218,0.00012975760000000003,0.10681,0.00127,-0.00089,0.00076,0.00024185871477800744,0.00035670639999999996,0.17861,0.00165,-0.00022,0.00016,5.8288562994180763e-05,2.07183e-05,0.04192,0.00038,-0.00011,8e-05,2.8633752247875785e-05,4.999700000000001e-06,0.020020000000000003,0.00019,-8e-05,7e-05,2.1744966205170336e-05,2.8834000000000006e-06,0.01455,0.00015000000000000001
5,6,-0.00071,0.00092,0.00010449720966800821,6.75163e-05,0.06495000000000001,0.00163,-0.00012,0.00014,3.092278551616857e-05,5.912300000000001e-06,0.02279,0.00026,-0.00012,9e-05,3.4657353281855705e-05,7.426600000000001e-06,0.027170000000000003,0.00021,-0.00014,0.00013,4.1942753435424584e-05,1.0877100000000001e-05,0.03168,0.00026999999999999995,-0.00056,0.00076,0.00015828006714014813,0.0001549001,0.11427000000000001,0.00132,-0.00078,0.00122,0.0002826091438545427,0.0004938233999999999,0.22238,0.002,-0.00075,0.00061,0.00018762059575332544,0.0002176508,0.14021,0.00136,-0.00082,0.001,0.00022900720269029615,0.0003242631,0.16759,0.00182
6,1,-5e-05,3e-05,1.6233800901504044e-05,1.5322000000000003e-06,0.00965,8e-05,-0.00011,6e-05,2.419782873979877e-05,3.4043e-06,0.014549999999999999,0.00017,-0.00011,4e-05,2.1688684533822705e-05,2.7349000000000003e-06,0.01431,0.00015000000000000001,-7e-05,5e-05,2.005153319544709e-05,2.3376000000000003e-06,0.011880000000000002,0.00011999999999999999,-8e-05,9e-05,2.091516436577045e-05,2.5433e-06,0.011980000000000001,0.00017,-5e-05,4e-05,1.6791073356961238e-05,1.6392000000000003e-06,0.00983,9e-05,-5e-05,3e-05,1.6005997328014397e-05,1.4895000000000003e-06,0.00911,8e-05,-5e-05,3e-05,1.438272384140243e-05,1.2027000000000004e-06,0.007890000000000001,8e-05
6,2,-0.00046,0.00038,0.00010282903611309393,6.601230000000001e-05,0.07701,0.00084,-0.00032,0.00031,7.257390031911217e-05,3.28817e-05,0.05657,0.00063,-0.00085,0.00053,0.00018202792716014255,0.0002068566,0.13801,0.00138,-0.00086,0.0003,0.00011966368590952034,8.939600000000001e-05,0.09838,0.00116,-0.00019,0.00032,5.381028723816822e-05,1.80769e-05,0.04228,0.00051,-0.00061,0.00062,0.00016071610132482677,0.00016125459999999999,0.11493,0.00123,-0.00043,0.00046,9.43168019932542e-05,5.553560000000001e-05,0.06731,0.00089,-0.00056,0.00054,0.00012868897448660045,0.00010338940000000001,0.09256,0.0010999999999999998
6,3,-0.00104,0.00097,0.00029351088864463295,0.0005740084,0.22313,0.00201,-0.00055,0.00024,9.887950969027877e-05,6.51452e-05,0.06895,0.00079,-0.00017,0.00019,4.297540909849439e-05,1.2305800000000002e-05,0.03181,0.00036,-0.00018,0.00024,5.29830535377039e-05,1.87044e-05,0.03911,0.00042,-0.00031,0.00041,7.999108835250736e-05,4.2633700000000005e-05,0.061880000000000004,0.0007199999999999999,-0.00038,0.00039,0.0001042452487624205,7.24073e-05,0.081,0.0007700000000000001,-0.00054,0.00053,0.00013638715408971,0.0001239415,0.09988,0.00107,-0.00089,0.00069,0.00021921794196265524,0.00032020050000000004,0.15654,0.0015799999999999998
6,4,-0.00022,0.00022,6.380843320694733e-05,2.72303e-05,0.04745,0.00044,-0.00041,0.00045,0.00010042508336277721,6.74498e-05,0.07732,0.00086,-0.00056,0.00051,0.00015416084195212364,0.0001589441,0.11418,0.00107,-0.00117,0.00127,0.00042882951366977385,0.0012298881000000002,0.32506999999999997,0.0024400000000000003,-0.00103,0.00111,0.0003817537557430439,0.0009746819000000001,0.28838,0.0021400000000000004,-0.00069,0.00064,0.00020239198341869,0.0002739573,0.14165,0.00133,-0.00038,0.00036,9.357140085205644e-05,5.85575e-05,0.068,0.00074,-0.00033,0.0005,9.852508302785402e-05,6.492169999999999e-05,0.07345,0.00083
6,5,-0.00028,0.00024,6.203473567009812e-05,2.72999e-05,0.046810000000000004,0.00052,-0.00069,0.00036,9.820326956844524e-05,6.84137e-05,0.07994,0.00105,-0.00109,0.00083,0.00020061587581911717,0.0002855103,0.14407999999999999,0.00192,-0.00094,0.00109,0.00024289506459548675,0.0004185319,0.19458000000000003,0.00203,-0.0009,0.00074,0.00017825003741580914,0.00022539819999999999,0.14761000000000002,0.00164,-0.00061,0.00056,0.00012196961034288222,0.00010553449999999999,0.09289,0.00117,-0.00021,0.00024,6.367127748035027e-05,2.87593e-05,0.046860000000000006,0.00045,-0.00019,0.00022,5.771577598765678e-05,2.36309e-05,0.042550000000000004,0.00041
6,6,-0.00078,0.00072,0.00013480751941205514,0.0001088385,0.09484999999999999,0.0015,-0.00044,0.00039,7.010320850749786e-05,2.94327e-05,0.04836,0.00083,-0.00018,0.00013,4.3837462964057614e-05,1.1509200000000002e-05,0.03266,0.00031,-0.00021,0.00033,6.546429218674208e-05,2.5666300000000002e-05,0.043300000000000005,0.00054,-0.00069,0.00081,0.00018101779002968198,0.0001962442,0.11384000000000001,0.0015,-0.00054,0.00074,0.00015852656843670567,0.00015050760000000002,0.10088,0.0012799999999999999,-0.0005,0.00064,0.0001356216708430876,0.0001101571,0.09126999999999999,0.00114,-0.00059,0.00065,0.00017756572748485258,0.00018883070000000001,0.12192,0.00124
7,1,-0.00023,0.00016,5.6238251464829305e-05,2.37933e-05,0.04789,0.00039000000000000005,-0.0001,7e-05,2.6122035914816976e-05,5.133400000000001e-06,0.020880000000000003,0.00017,-0.00012,0.00015,3.4426618736504664e-05,8.9162e-06,0.0283,0.00027,-0.00037,0.0005,8.8361997578018e-05,5.873840000000001e-05,0.08228,0.00087,-0.00055,0.00084,0.00015567491870466848,0.0001823175,0.13263000000000003,0.0013900000000000002,-7e-05,6e-05,2.028410467088928e-05,3.0953000000000007e-06,0.01616,0.00013,-4e-05,2e-05,1.4203099451492419e-05,1.5176000000000005e-06,0.010100000000000001,6.000000000000001e-05,-6e-05,4e-05,1.7198051137083117e-05,2.2251e-06,0.01327,0.0001
7,2,-0.00077,0.00082,0.0001879246422215501,0.00027020019999999997,0.16826000000000002,0.0015899999999999998,-0.0003,0.00026,7.678295049936036e-05,4.51074e-05,0.07009000000000001,0.00056,-0.00084,0.00065,0.00016088932363850168,0.00019804900000000003,0.15622,0.00149,-0.0006,0.00056,0.00011568817466655194,0.0001023991,0.11368000000000002,0.00116,-0.00075,0.00081,0.00015796588809319554,0.0001909171,0.13772,0.00156,-0.00067,0.00063,0.00018204102858088237,0.000253546,0.16464,0.0013,-0.00063,0.00047,0.0001502131104960328,0.000172637,0.13373000000000002,0.0011,-0.00128,0.00127,0.0005602841811193681,0.0024017894,0.52625,0.00255
